video_id,gloss,label,label_id,split,url,source,signer_id,frame_start,frame_end,fps,expected_video_stem,landmark_path,resolved_video_path,download_status
69241,book,book,0,train,http://aslbricks.org/New/ASL-Videos/book.mp4,aslbrick,118,1,-1,25,data\raw\WLASL100\videos\69241,data\landmarks\wlasl100\69241.npy,data\raw\WLASL100\videos\69241.mp4,found
65225,book,book,0,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,aslsignbank,90,1,-1,25,data\raw\WLASL100\videos\65225,data\landmarks\wlasl100\65225.npy,,missing
68011,book,book,0,train,https://www.youtube.com/watch?v=0UsjUE-TXns,valencia-asl,110,1,-1,25,data\raw\WLASL100\videos\68011,data\landmarks\wlasl100\68011.npy,data\raw\WLASL100\videos\68011.mp4,found
68208,book,book,0,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,lillybauer,113,1,60,25,data\raw\WLASL100\videos\68208,data\landmarks\wlasl100\68208.npy,,missing
68012,book,book,0,train,https://www.youtube.com/watch?v=aGtIHKEdCds,valencia-asl,109,1,-1,25,data\raw\WLASL100\videos\68012,data\landmarks\wlasl100\68012.npy,data\raw\WLASL100\videos\68012.mp4,found
70212,book,book,0,val,https://www.youtube.com/watch?v=hjS0dQDgbjo,northtexas,121,2150,2249,25,data\raw\WLASL100\videos\70212,data\landmarks\wlasl100\70212.npy,data\raw\WLASL100\videos\70212.mp4,found
70266,book,book,0,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,northtexas,121,3732,3852,25,data\raw\WLASL100\videos\70266,data\landmarks\wlasl100\70266.npy,data\raw\WLASL100\videos\70266.mp4,found
07085,book,book,0,train,http://www.aslpro.com/main/b/book_english_grammar.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07085,data\landmarks\wlasl100\07085.npy,,missing
07086,book,book,0,train,http://www.aslpro.com/main/b/book_geography.swf,aslpro,49,1,-1,25,data\raw\WLASL100\videos\07086,data\landmarks\wlasl100\07086.npy,,missing
07087,book,book,0,train,http://www.aslpro.com/main/b/book_geometry.swf,aslpro,18,1,-1,25,data\raw\WLASL100\videos\07087,data\landmarks\wlasl100\07087.npy,,missing
