gloss,test,train,val,usable_total,mean_quality_score,mean_valid_frame_ratio,mean_movement_score
visit,1,6,1,8,0.7575493932468818,0.76953125,0.03931582323275501
computer,1,6,1,8,0.7451785197277787,0.787109375,0.036922954983310725
enjoy,1,5,2,8,0.7354396211216226,0.75,0.037189787020906764
language,1,5,2,8,0.6896484375,0.703125,0.08304076315835113
cow,2,5,1,8,0.6777236365538557,0.73828125,0.028799687803257226
trade,2,4,2,8,0.682633296144195,0.72265625,0.042621415341272895
accident,2,4,2,8,0.635361584313796,0.67578125,0.03045895198010835
sunday,1,5,1,7,0.7352678571428573,0.7455357142857143,0.05246870166489052
apple,1,5,1,7,0.6020493964864208,0.671875,0.022397920821926372
drink,1,5,1,7,0.5969890163346594,0.6584821428571429,0.018276049822036657
ball,2,4,1,7,0.735422569446798,0.7455357142857143,0.03324178220438102
new,1,4,2,7,0.7282223791549249,0.7455357142857143,0.041588004545441655
some,1,4,2,7,0.7037583810077714,0.7276785714285714,0.03417985507154033
no,1,4,2,7,0.6640060593972782,0.7232142857142857,0.026197328564843896
many,3,3,1,7,0.7094641228339503,0.7165178571428571,0.04027320896940567
all,1,3,3,7,0.6466275547098901,0.6696428571428571,0.04257338906505272
government,1,3,3,7,0.6429587415685611,0.71875,0.02265150991401497
near,1,4,1,6,0.7727205140981823,0.8046875,0.029545302658031333
sister,1,4,1,6,0.762444310837115,0.7786458333333334,0.03922749791915215
champion,1,4,1,6,0.7469443403960517,0.7708333333333334,0.03527579782530662
snow,1,4,1,6,0.7445312500000001,0.7604166666666666,0.055591210412482384
dance,1,4,1,6,0.7354981555913885,0.75,0.048069686939318935
party,1,4,1,6,0.7211609733911852,0.7395833333333334,0.06025406128416455
town,1,4,1,6,0.7145569876302034,0.7291666666666666,0.03627368885402875
meeting,1,4,1,6,0.7119791666666667,0.71875,0.0388407446444034
behind,1,4,1,6,0.7108072916666668,0.7473958333333334,0.040906661810974215
from,1,4,1,6,0.7041353418802222,0.7109375,0.035418850680192245
pay,1,4,1,6,0.703125,0.71875,0.05186228019495801
poor,1,4,1,6,0.701171875,0.7161458333333334,0.04999049597730235
tired,1,4,1,6,0.6928933401592077,0.7057291666666666,0.034263813557724114
plus,1,4,1,6,0.6816879812783251,0.7057291666666666,0.03694959869608278
escape,1,4,1,6,0.6725054206016163,0.7005208333333334,0.037688182356456885
white,1,4,1,6,0.6608762361497308,0.75,0.020118079846724816
make,1,3,2,6,0.7147613015025854,0.7421875,0.05110923511286572
write,2,3,1,6,0.7097562870476395,0.7213541666666666,0.04098968999460335
backpack,1,3,2,6,0.7070312500000001,0.7291666666666666,0.04762176051735873
soap,1,3,2,6,0.6927083333333335,0.703125,0.058028934833904054
paper,1,3,2,6,0.6893229166666668,0.703125,0.04980165790766472
word,2,3,1,6,0.6835937764185172,0.7005208333333334,0.033928932311634186
discuss,1,3,2,6,0.664240144348393,0.6822916666666666,0.060247987198332915
forget,1,3,2,6,0.6024162568190756,0.671875,0.012008169394296867
deaf,2,3,1,6,0.5992387892135109,0.6692708333333334,0.02559091717315212
weekend,1,3,1,5,0.759344678670168,0.775,0.04627748541533942
delay,1,3,1,5,0.7532812500000001,0.771875,0.06309946998953816
again,1,3,1,5,0.7529600434005261,0.7875,0.05791244171559804
easy,1,3,1,5,0.7433577946946025,0.765625,0.040142880752682644
music,1,3,1,5,0.7345862882025541,0.7625,0.04067238103598348
time,1,3,1,5,0.7296675903908909,0.753125,0.03734210822731252
expensive,1,3,1,5,0.7231250000000001,0.74375,0.052818476408719985
city,1,3,1,5,0.7193750000000001,0.74375,0.05688757002353666
