video_id,gloss,label,label_id,split,url,source,signer_id,frame_start,frame_end,fps,expected_video_stem,landmark_path,resolved_video_path,download_status,has_landmarks,landmark_exists,landmark_shape,valid_frame_ratio,left_hand_ratio,right_hand_ratio,two_hand_ratio,movement_score,quality_score,quality_good,quality_reason
69302,drink,drink,1,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,aslbrick,115,1,-1,25,data\raw\WLASL500\videos\69302,data\landmarks\wlasl500\69302.npy,data\raw\WLASL500\videos\69302.mp4,found,True,True,64x126,0.65625,0.65625,0.0,0.0,0.0051967445760965,0.5708043614402414,True,ok
17725,drink,drink,1,train,https://www.youtube.com/watch?v=537MWOtCl78,aslu,5,1,-1,25,data\raw\WLASL500\videos\17725,data\landmarks\wlasl500\17725.npy,data\raw\WLASL500\videos\17725.mp4,found,True,True,64x126,0.65625,0.65625,0.03125,0.03125,0.0226949136704206,0.6109375000000001,True,ok
17728,drink,drink,1,train,https://www.youtube.com/watch?v=g3rl9_LYqzI,aslu,5,1,-1,25,data\raw\WLASL500\videos\17728,data\landmarks\wlasl500\17728.npy,data\raw\WLASL500\videos\17728.mp4,found,True,True,64x126,0.71875,0.71875,0.171875,0.171875,0.0502306893467903,0.6781250000000001,True,ok
17729,drink,drink,1,train,https://www.youtube.com/watch?v=i0opsQ2zB1Q,aslu,5,1,-1,25,data\raw\WLASL500\videos\17729,data\landmarks\wlasl500\17729.npy,data\raw\WLASL500\videos\17729.mp4,found,True,True,64x126,0.640625,0.640625,0.0,0.0,0.0072673079557716,0.5626995198894292,True,ok
17730,drink,drink,1,test,https://www.youtube.com/watch?v=k6cNmM9WgUs,aslu,5,1,-1,25,data\raw\WLASL500\videos\17730,data\landmarks\wlasl500\17730.npy,data\raw\WLASL500\videos\17730.mp4,found,True,True,64x126,0.625,0.625,0.0,0.0,0.0139370458200573,0.5660926145501435,True,ok
17731,drink,drink,1,train,https://www.youtube.com/watch?v=LqJM7wcUixQ,aslu,5,1,-1,25,data\raw\WLASL500\videos\17731,data\landmarks\wlasl500\17731.npy,data\raw\WLASL500\videos\17731.mp4,found,True,True,64x126,0.65625,0.65625,0.015625,0.015625,0.0173823162913322,0.6028307907283307,True,ok
17712,drink,drink,1,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4,signschool,6,1,-1,25,data\raw\WLASL500\videos\17712,data\landmarks\wlasl500\17712.npy,data\raw\WLASL500\videos\17712.mp4,found,True,True,64x126,0.65625,0.65625,0.015625,0.015625,0.0112233310937881,0.5874333277344704,True,ok
12306,computer,computer,0,test,https://www.youtube.com/watch?v=PPmQd2zWdP0,asl5200,9,5122,5181,25,data\raw\WLASL500\videos\12306,data\landmarks\wlasl500\12306.npy,data\raw\WLASL500\videos\12306.mp4,found,True,True,64x126,0.875,0.875,0.1875,0.1875,0.1157626211643219,0.8125000000000001,True,ok
12331,computer,computer,0,train,https://www.youtube.com/watch?v=fY11M3Dxxx0,aslu,5,1,-1,25,data\raw\WLASL500\videos\12331,data\landmarks\wlasl500\12331.npy,data\raw\WLASL500\videos\12331.mp4,found,True,True,64x126,0.671875,0.671875,0.53125,0.53125,0.0441381745040416,0.67421875,True,ok
12314,computer,computer,0,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\12314,data\landmarks\wlasl500\12314.npy,data\raw\WLASL500\videos\12314.mp4,found,True,True,64x126,0.859375,0.859375,0.578125,0.578125,0.0490855053067207,0.8382812500000001,True,ok
12315,computer,computer,0,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\12315,data\landmarks\wlasl500\12315.npy,data\raw\WLASL500\videos\12315.mp4,found,True,True,64x126,0.84375,0.84375,0.796875,0.796875,0.0314646959304809,0.8468750000000002,True,ok
12316,computer,computer,0,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\12316,data\landmarks\wlasl500\12316.npy,data\raw\WLASL500\videos\12316.mp4,found,True,True,64x126,0.71875,0.71875,0.03125,0.03125,0.0145422182977199,0.6504180457443,True,ok
12317,computer,computer,0,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\12317,data\landmarks\wlasl500\12317.npy,data\raw\WLASL500\videos\12317.mp4,found,True,True,64x126,0.796875,0.796875,0.03125,0.03125,0.0148209696635603,0.717521174158901,True,ok
12318,computer,computer,0,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\12318,data\landmarks\wlasl500\12318.npy,data\raw\WLASL500\videos\12318.mp4,found,True,True,64x126,0.859375,0.859375,0.640625,0.640625,0.0231738798320293,0.8445312500000001,True,ok
12319,computer,computer,0,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4,signschool,45,1,-1,25,data\raw\WLASL500\videos\12319,data\landmarks\wlasl500\12319.npy,data\raw\WLASL500\videos\12319.mp4,found,True,True,64x126,0.671875,0.671875,0.0,0.0,0.0023955751676112,0.5770826879190281,True,ok
32146,language,language,3,train,https://www.youtube.com/watch?v=EhkIoTNxwGE,asl5200,9,98,124,25,data\raw\WLASL500\videos\32146,data\landmarks\wlasl500\32146.npy,data\raw\WLASL500\videos\32146.mp4,found,True,True,64x126,0.9375,0.9375,0.171875,0.171875,0.0782280564308166,0.8640625000000001,True,ok
68084,language,language,3,train,https://www.youtube.com/watch?v=IRuaSHyrm6o,valencia-asl,111,1,-1,25,data\raw\WLASL500\videos\68084,data\landmarks\wlasl500\68084.npy,data\raw\WLASL500\videos\68084.mp4,found,True,True,64x126,0.703125,0.703125,0.578125,0.578125,0.0562326461076736,0.7054687500000001,True,ok
32156,language,language,3,val,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Language%203-3MX4tSI4zV0.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\32156,data\landmarks\wlasl500\32156.npy,data\raw\WLASL500\videos\32156.mp4,found,True,True,64x126,0.640625,0.640625,0.390625,0.390625,0.0813076049089431,0.6335937500000001,True,ok
32157,language,language,3,test,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Language%204-a0lbU50n0wI.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\32157,data\landmarks\wlasl500\32157.npy,data\raw\WLASL500\videos\32157.mp4,found,True,True,64x126,0.765625,0.765625,0.453125,0.453125,0.0932044982910156,0.7460937500000001,True,ok
32160,language,language,3,train,https://media.asldeafined.com/vocabulary/1468671247.1222.mp4,asldeafined,13,1,-1,25,data\raw\WLASL500\videos\32160,data\landmarks\wlasl500\32160.npy,data\raw\WLASL500\videos\32160.mp4,found,True,True,64x126,0.625,0.625,0.4375,0.4375,0.0971290543675422,0.625,True,ok
32154,language,language,3,val,https://media.spreadthesign.com/video/mp4/13/457488.mp4,spreadthesign,8,1,-1,25,data\raw\WLASL500\videos\32154,data\landmarks\wlasl500\32154.npy,data\raw\WLASL500\videos\32154.mp4,found,True,True,64x126,0.65625,0.65625,0.515625,0.515625,0.0610321201384067,0.659375,True,ok
32164,language,language,3,train,https://www.youtube.com/watch?v=O8XiLkrSx48,aslu,5,1,-1,25,data\raw\WLASL500\videos\32164,data\landmarks\wlasl500\32164.npy,data\raw\WLASL500\videos\32164.mp4,found,True,True,64x126,0.671875,0.671875,0.375,0.375,0.117918811738491,0.65859375,True,ok
32155,language,language,3,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Language%202-e7ngY2s5d-w.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\32155,data\landmarks\wlasl500\32155.npy,data\raw\WLASL500\videos\32155.mp4,found,True,True,64x126,0.625,0.625,0.4375,0.4375,0.0792733132839202,0.625,True,ok
19255,enjoy,enjoy,2,test,https://www.youtube.com/watch?v=2oaCeSdHG-A,asl5200,9,1822,1898,25,data\raw\WLASL500\videos\19255,data\landmarks\wlasl500\19255.npy,data\raw\WLASL500\videos\19255.mp4,found,True,True,64x126,0.96875,0.96875,0.140625,0.140625,0.0940112471580505,0.8875000000000001,True,ok
19261,enjoy,enjoy,2,train,https://media.asldeafined.com/vocabulary/1468376460.8089.mp4,asldeafined,21,1,-1,25,data\raw\WLASL500\videos\19261,data\landmarks\wlasl500\19261.npy,data\raw\WLASL500\videos\19261.mp4,found,True,True,64x126,0.65625,0.65625,0.359375,0.359375,0.0532304942607879,0.64375,True,ok
19266,enjoy,enjoy,2,train,https://www.youtube.com/watch?v=G7MMoJZRltk,aslu,5,1,-1,25,data\raw\WLASL500\videos\19266,data\landmarks\wlasl500\19266.npy,data\raw\WLASL500\videos\19266.mp4,found,True,True,64x126,0.703125,0.703125,0.625,0.625,0.0331846587359905,0.71015625,True,ok
19257,enjoy,enjoy,2,val,https://media.spreadthesign.com/video/mp4/13/456900.mp4,spreadthesign,37,1,-1,25,data\raw\WLASL500\videos\19257,data\landmarks\wlasl500\19257.npy,data\raw\WLASL500\videos\19257.mp4,found,True,True,64x126,0.703125,0.703125,0.703125,0.703125,0.0090599600225687,0.6906186500564218,True,ok
19267,enjoy,enjoy,2,val,https://www.youtube.com/watch?v=Uo_AUbP0O9g,aslu,5,1,-1,25,data\raw\WLASL500\videos\19267,data\landmarks\wlasl500\19267.npy,data\raw\WLASL500\videos\19267.mp4,found,True,True,64x126,0.734375,0.734375,0.625,0.625,0.0272985342890024,0.7367187500000001,True,ok
19258,enjoy,enjoy,2,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/enjoy.mp4,startasl,38,1,-1,25,data\raw\WLASL500\videos\19258,data\landmarks\wlasl500\19258.npy,data\raw\WLASL500\videos\19258.mp4,found,True,True,64x126,0.734375,0.734375,0.703125,0.703125,0.0174718275666236,0.7382108189165593,True,ok
19259,enjoy,enjoy,2,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Enjoy-J1S7e-UwSMY.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\19259,data\landmarks\wlasl500\19259.npy,data\raw\WLASL500\videos\19259.mp4,found,True,True,64x126,0.78125,0.78125,0.5625,0.5625,0.0355999954044818,0.7703125000000001,True,ok
19260,enjoy,enjoy,2,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Enjoy-OqNA--JdTmA.mp4,signschool,39,1,-1,25,data\raw\WLASL500\videos\19260,data\landmarks\wlasl500\19260.npy,data\raw\WLASL500\videos\19260.mp4,found,True,True,64x126,0.71875,0.71875,0.453125,0.453125,0.0276615787297487,0.70625,True,ok
61804,visit,visit,5,test,https://www.youtube.com/watch?v=cP1FdT_zo7U,asl5200,9,559,615,25,data\raw\WLASL500\videos\61804,data\landmarks\wlasl500\61804.npy,data\raw\WLASL500\videos\61804.mp4,found,True,True,64x126,0.890625,0.890625,0.390625,0.390625,0.0840770155191421,0.8460937500000001,True,ok
61807,visit,visit,5,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Visit%202-5Dgxt9vLDMQ.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\61807,data\landmarks\wlasl500\61807.npy,data\raw\WLASL500\videos\61807.mp4,found,True,True,64x126,0.65625,0.65625,0.453125,0.453125,0.0467661134898662,0.6531250000000001,True,ok
61808,visit,visit,5,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Visit%203-7FEKfpGz_vQ.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\61808,data\landmarks\wlasl500\61808.npy,data\raw\WLASL500\videos\61808.mp4,found,True,True,64x126,0.8125,0.8125,0.5625,0.5625,0.0166580583900213,0.7885201459750534,True,ok
61809,visit,visit,5,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Visit-psRhQvN_hLo.mp4,signschool,4,1,-1,25,data\raw\WLASL500\videos\61809,data\landmarks\wlasl500\61809.npy,data\raw\WLASL500\videos\61809.mp4,found,True,True,64x126,0.75,0.75,0.25,0.25,0.0265990085899829,0.7125000000000001,True,ok
61810,visit,visit,5,val,https://media.asldeafined.com/vocabulary/1468926605.5501.mp4,asldeafined,13,1,-1,25,data\raw\WLASL500\videos\61810,data\landmarks\wlasl500\61810.npy,data\raw\WLASL500\videos\61810.mp4,found,True,True,64x126,0.765625,0.765625,0.734375,0.734375,0.0240019373595714,0.7742187500000002,True,ok
61814,visit,visit,5,train,https://www.youtube.com/watch?v=PWLbRrwK4i8,aslu,5,1,-1,25,data\raw\WLASL500\videos\61814,data\landmarks\wlasl500\61814.npy,data\raw\WLASL500\videos\61814.mp4,found,True,True,64x126,0.84375,0.84375,0.75,0.75,0.0318189449608325,0.8421875000000001,True,ok
61817,visit,visit,5,train,https://www.youtube.com/watch?v=wosMxHHFE_4,aslu,5,1,-1,25,data\raw\WLASL500\videos\61817,data\landmarks\wlasl500\61817.npy,data\raw\WLASL500\videos\61817.mp4,found,True,True,64x126,0.796875,0.796875,0.640625,0.640625,0.0586341433227062,0.7914062500000001,True,ok
61806,visit,visit,5,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/visit.mp4,startasl,38,1,-1,25,data\raw\WLASL500\videos\61806,data\landmarks\wlasl500\61806.npy,data\raw\WLASL500\videos\61806.mp4,found,True,True,64x126,0.640625,0.640625,0.578125,0.578125,0.0259713642299175,0.6523437500000001,True,ok
55768,sunday,sunday,4,test,https://www.youtube.com/watch?v=XB3Q6IX6CBo,asl5200,9,10324,10370,25,data\raw\WLASL500\videos\55768,data\landmarks\wlasl500\55768.npy,data\raw\WLASL500\videos\55768.mp4,found,True,True,64x126,0.875,0.875,0.171875,0.171875,0.107121430337429,0.8109375000000001,True,ok
55773,sunday,sunday,4,train,https://media.asldeafined.com/vocabulary/1468898005.2311.mp4,asldeafined,13,1,-1,25,data\raw\WLASL500\videos\55773,data\landmarks\wlasl500\55773.npy,data\raw\WLASL500\videos\55773.mp4,found,True,True,64x126,0.796875,0.796875,0.75,0.75,0.0247591137886047,0.8023437500000001,True,ok
55778,sunday,sunday,4,val,https://www.youtube.com/watch?v=bmy6YRYlW0Y,aslu,5,1,-1,25,data\raw\WLASL500\videos\55778,data\landmarks\wlasl500\55778.npy,data\raw\WLASL500\videos\55778.mp4,found,True,True,64x126,0.625,0.625,0.5625,0.5625,0.0497664399445056,0.6375000000000001,True,ok
55779,sunday,sunday,4,train,https://www.youtube.com/watch?v=EUoby_wzGzY,aslu,5,1,-1,25,data\raw\WLASL500\videos\55779,data\landmarks\wlasl500\55779.npy,data\raw\WLASL500\videos\55779.mp4,found,True,True,64x126,0.625,0.625,0.5,0.5,0.0504959225654602,0.6312500000000001,True,ok
55780,sunday,sunday,4,train,https://www.youtube.com/watch?v=Gh5pD88Vgw0,aslu,5,1,-1,25,data\raw\WLASL500\videos\55780,data\landmarks\wlasl500\55780.npy,data\raw\WLASL500\videos\55780.mp4,found,True,True,64x126,0.671875,0.671875,0.578125,0.578125,0.0463651753962039,0.67890625,True,ok
55771,sunday,sunday,4,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Sunday%20var-ijo4CWiHimg.mp4,signschool,4,2,-1,25,data\raw\WLASL500\videos\55771,data\landmarks\wlasl500\55771.npy,data\raw\WLASL500\videos\55771.mp4,found,True,True,64x126,0.65625,0.65625,0.4375,0.4375,0.0503861643373966,0.6515625,True,ok
55772,sunday,sunday,4,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Sunday-lI1t5IWPw30.mp4,signschool,3,1,-1,25,data\raw\WLASL500\videos\55772,data\landmarks\wlasl500\55772.npy,data\raw\WLASL500\videos\55772.mp4,found,True,True,64x126,0.96875,0.96875,0.609375,0.609375,0.0383866652846336,0.934375,True,ok
